"index","average_price","devex value (USD)","volume","date"
168,2687,9.4045,21,2013-06-13 00:00:00.000
169,3311,11.5885,20,2013-06-14 00:00:00.000
170,2778,9.723,35,2013-06-15 00:00:00.000
171,2678,9.373,21,2013-06-16 00:00:00.000
172,2833,9.9155,23,2013-06-17 00:00:00.000
173,2761,9.6635,21,2013-06-18 00:00:00.000
174,3265,11.4275,15,2013-06-19 00:00:00.000
175,2749,9.621500000000001,25,2013-06-20 00:00:00.000
176,2158,7.553,77,2013-06-21 00:00:00.000
177,2326,8.141,65,2013-06-22 00:00:00.000
178,2850,9.975,31,2013-06-23 00:00:00.000
179,2710,9.485,28,2013-06-24 00:00:00.000
180,3047,10.6645,31,2013-06-25 00:00:00.000
181,2743,9.6005,23,2013-06-26 00:00:00.000
182,2766,9.681000000000001,26,2013-06-27 00:00:00.000
183,2816,9.856,26,2013-06-28 00:00:00.000
184,2644,9.254,34,2013-06-29 00:00:00.000
185,2696,9.436,34,2013-06-30 00:00:00.000
186,2670,9.345,33,2013-07-01 00:00:00.000
187,2811,9.8385,26,2013-07-02 00:00:00.000
188,2709,9.4815,28,2013-07-03 00:00:00.000
189,2170,7.595,50,2013-07-04 00:00:00.000
190,2610,9.135,34,2013-07-05 00:00:00.000
191,2775,9.7125,32,2013-07-06 00:00:00.000
192,2858,10.003,21,2013-07-07 00:00:00.000
193,2464,8.624,30,2013-07-08 00:00:00.000
194,2409,8.4315,31,2013-07-09 00:00:00.000
195,2536,8.876,21,2013-07-10 00:00:00.000
196,2784,9.744,37,2013-07-11 00:00:00.000
197,2367,8.2845,29,2013-07-12 00:00:00.000
198,2477,8.6695,26,2013-07-13 00:00:00.000
199,2762,9.667,27,2013-07-14 00:00:00.000
200,2802,9.807,30,2013-07-15 00:00:00.000
201,3018,10.563,17,2013-07-16 00:00:00.000
202,2658,9.303,17,2013-07-17 00:00:00.000
203,3061,10.7135,23,2013-07-18 00:00:00.000
204,2731,9.5585,27,2013-07-19 00:00:00.000
205,2930,10.255,27,2013-07-20 00:00:00.000
206,2940,10.290000000000001,30,2013-07-21 00:00:00.000
207,3042,10.647,17,2013-07-22 00:00:00.000
208,2910,10.185,27,2013-07-23 00:00:00.000
209,2489,8.711500000000001,22,2013-07-24 00:00:00.000
210,2994,10.479000000000001,26,2013-07-25 00:00:00.000
211,3084,10.794,30,2013-07-26 00:00:00.000
212,2541,8.8935,29,2013-07-27 00:00:00.000
213,2968,10.388,30,2013-07-28 00:00:00.000
214,2542,8.897,21,2013-07-29 00:00:00.000
215,2780,9.73,30,2013-07-30 00:00:00.000
216,3030,10.605,31,2013-07-31 00:00:00.000
217,2802,9.807,29,2013-08-01 00:00:00.000
218,2814,9.849,37,2013-08-02 00:00:00.000
219,2496,8.736,46,2013-08-03 00:00:00.000
220,2729,9.5515,39,2013-08-04 00:00:00.000
221,2742,9.597,31,2013-08-05 00:00:00.000
222,2771,9.698500000000001,25,2013-08-06 00:00:00.000
223,2793,9.775500000000001,18,2013-08-07 00:00:00.000
224,2840,9.94,17,2013-08-08 00:00:00.000
225,2765,9.6775,21,2013-08-09 00:00:00.000
226,2715,9.5025,36,2013-08-10 00:00:00.000
227,3179,11.1265,23,2013-08-11 00:00:00.000
228,2781,9.7335,19,2013-08-12 00:00:00.000
229,2741,9.5935,19,2013-08-13 00:00:00.000
230,3080,10.78,13,2013-08-14 00:00:00.000
231,2658,9.303,22,2013-08-15 00:00:00.000
232,2799,9.7965,20,2013-08-16 00:00:00.000
233,2785,9.7475,29,2013-08-17 00:00:00.000
234,3040,10.64,23,2013-08-18 00:00:00.000
235,2928,10.248,16,2013-08-19 00:00:00.000
236,2681,9.3835,14,2013-08-20 00:00:00.000
237,2713,9.4955,23,2013-08-21 00:00:00.000
238,2788,9.758000000000001,20,2013-08-22 00:00:00.000
239,2295,8.0325,36,2013-08-23 00:00:00.000
240,2695,9.432500000000001,25,2013-08-24 00:00:00.000
241,2910,10.185,24,2013-08-25 00:00:00.000
242,2821,9.8735,21,2013-08-26 00:00:00.000
243,2703,9.4605,31,2013-08-27 00:00:00.000
244,2618,9.163,28,2013-08-28 00:00:00.000
245,2350,8.225,38,2013-08-29 00:00:00.000
246,2312,8.092,48,2013-08-30 00:00:00.000
247,2815,9.852500000000001,34,2013-08-31 00:00:00.000
248,2375,8.3125,49,2013-09-01 00:00:00.000
249,2458,8.603,34,2013-09-02 00:00:00.000
250,2647,9.2645,13,2013-09-03 00:00:00.000
251,2711,9.4885,17,2013-09-04 00:00:00.000
252,2701,9.4535,14,2013-09-05 00:00:00.000
253,2594,9.079,25,2013-09-06 00:00:00.000
254,2775,9.7125,27,2013-09-07 00:00:00.000
255,2563,8.9705,17,2013-09-08 00:00:00.000
256,3042,10.647,16,2013-09-09 00:00:00.000
257,2938,10.283,14,2013-09-10 00:00:00.000
258,3326,11.641,15,2013-09-11 00:00:00.000
259,3313,11.5955,9,2013-09-12 00:00:00.000
260,2917,10.2095,19,2013-09-13 00:00:00.000
261,2844,9.954,24,2013-09-14 00:00:00.000
262,2705,9.4675,19,2013-09-15 00:00:00.000
263,2941,10.2935,10,2013-09-16 00:00:00.000
264,2714,9.499,16,2013-09-17 00:00:00.000
265,2766,9.681000000000001,13,2013-09-18 00:00:00.000
266,2964,10.374,14,2013-09-19 00:00:00.000
267,2754,9.639,18,2013-09-20 00:00:00.000
268,2620,9.17,23,2013-09-21 00:00:00.000
269,2538,8.883000000000001,26,2013-09-22 00:00:00.000
270,2673,9.355500000000001,18,2013-09-23 00:00:00.000
271,2806,9.821,20,2013-09-24 00:00:00.000
272,2841,9.9435,13,2013-09-25 00:00:00.000
273,3016,10.556000000000001,18,2013-09-26 00:00:00.000
274,3041,10.6435,18,2013-09-27 00:00:00.000
275,2908,10.178,23,2013-09-28 00:00:00.000
276,3028,10.598,20,2013-09-29 00:00:00.000
277,2733,9.5655,12,2013-09-30 00:00:00.000
278,2652,9.282,18,2013-10-01 00:00:00.000
279,2040,7.140000000000001,43,2013-10-02 00:00:00.000
280,2346,8.211,21,2013-10-03 00:00:00.000
281,2043,7.1505,25,2013-10-04 00:00:00.000
282,2250,7.875,48,2013-10-05 00:00:00.000
283,1921,6.7235000000000005,21,2013-10-06 00:00:00.000
284,2174,7.609,21,2013-10-07 00:00:00.000
285,2302,8.057,21,2013-10-08 00:00:00.000
286,1884,6.594,22,2013-10-09 00:00:00.000
287,1921,6.7235000000000005,25,2013-10-10 00:00:00.000
288,2183,7.6405,19,2013-10-11 00:00:00.000
289,2305,8.0675,33,2013-10-12 00:00:00.000
290,2117,7.4095,32,2013-10-13 00:00:00.000
291,2368,8.288,15,2013-10-14 00:00:00.000
292,2361,8.2635,14,2013-10-15 00:00:00.000
293,2244,7.854,16,2013-10-16 00:00:00.000
294,2140,7.49,20,2013-10-17 00:00:00.000
295,1894,6.6290000000000004,30,2013-10-18 00:00:00.000
296,2644,9.254,26,2013-10-19 00:00:00.000
297,2678,9.373,17,2013-10-20 00:00:00.000
298,2452,8.582,17,2013-10-21 00:00:00.000
299,2286,8.001,11,2013-10-22 00:00:00.000
300,2697,9.4395,18,2013-10-23 00:00:00.000
301,2622,9.177,15,2013-10-24 00:00:00.000
302,2726,9.541,27,2013-10-25 00:00:00.000
303,2742,9.597,28,2013-10-26 00:00:00.000
304,2277,7.9695,22,2013-10-27 00:00:00.000
305,2246,7.861,9,2013-10-28 00:00:00.000
306,2190,7.665,7,2013-10-29 00:00:00.000
307,2633,9.2155,10,2013-10-30 00:00:00.000
308,2529,8.8515,13,2013-10-31 00:00:00.000
309,2540,8.89,15,2013-11-01 00:00:00.000
310,2505,8.7675,25,2013-11-02 00:00:00.000
311,2649,9.2715,18,2013-11-03 00:00:00.000
312,2455,8.5925,12,2013-11-04 00:00:00.000
313,2479,8.6765,15,2013-11-05 00:00:00.000
314,2927,10.2445,11,2013-11-06 00:00:00.000
315,2763,9.6705,10,2013-11-07 00:00:00.000
316,2461,8.6135,13,2013-11-08 00:00:00.000
317,2333,8.1655,26,2013-11-09 00:00:00.000
318,2642,9.247,18,2013-11-10 00:00:00.000
319,2699,9.4465,23,2013-11-11 00:00:00.000
320,2775,9.7125,9,2013-11-12 00:00:00.000
321,2135,7.4725,11,2013-11-13 00:00:00.000
322,2514,8.799,8,2013-11-14 00:00:00.000
323,2133,7.4655000000000005,33,2013-11-15 00:00:00.000
324,2215,7.7525,29,2013-11-16 00:00:00.000
325,2127,7.444500000000001,33,2013-11-17 00:00:00.000
326,2313,8.0955,12,2013-11-18 00:00:00.000
327,2244,7.854,14,2013-11-19 00:00:00.000
328,2624,9.184000000000001,11,2013-11-20 00:00:00.000
329,2584,9.044,25,2013-11-21 00:00:00.000
330,2084,7.2940000000000005,19,2013-11-22 00:00:00.000
331,2663,9.320500000000001,23,2013-11-23 00:00:00.000
332,2634,9.219,18,2013-11-24 00:00:00.000
333,2673,9.355500000000001,22,2013-11-25 00:00:00.000
334,2425,8.4875,13,2013-11-26 00:00:00.000
335,2282,7.987,20,2013-11-27 00:00:00.000
336,2165,7.577500000000001,28,2013-11-28 00:00:00.000
337,2183,7.6405,40,2013-11-29 00:00:00.000
338,2203,7.710500000000001,30,2013-11-30 00:00:00.000
339,1952,6.832,52,2013-12-01 00:00:00.000
340,2096,7.336,19,2013-12-02 00:00:00.000
341,2034,7.119,14,2013-12-03 00:00:00.000
342,2289,8.0115,12,2013-12-04 00:00:00.000
343,2595,9.0825,15,2013-12-05 00:00:00.000
344,2738,9.583,18,2013-12-06 00:00:00.000
345,2113,7.3955,26,2013-12-07 00:00:00.000
346,2327,8.1445,20,2013-12-08 00:00:00.000
347,2444,8.554,11,2013-12-09 00:00:00.000
348,2321,8.1235,9,2013-12-10 00:00:00.000
349,1911,6.6885,18,2013-12-11 00:00:00.000
350,2240,7.84,17,2013-12-12 00:00:00.000
351,1898,6.643,24,2013-12-13 00:00:00.000
352,2458,8.603,24,2013-12-14 00:00:00.000
353,2326,8.141,20,2013-12-15 00:00:00.000
354,2554,8.939,14,2013-12-16 00:00:00.000
355,2124,7.434,15,2013-12-17 00:00:00.000
356,2610,9.135,14,2013-12-18 00:00:00.000
357,2187,7.6545000000000005,20,2013-12-19 00:00:00.000
358,2459,8.6065,23,2013-12-20 00:00:00.000
359,2436,8.526,34,2013-12-21 00:00:00.000
360,2516,8.806000000000001,30,2013-12-22 00:00:00.000
361,2839,9.9365,29,2013-12-23 00:00:00.000
362,3046,10.661,34,2013-12-24 00:00:00.000
363,3689,12.9115,82,2013-12-25 00:00:00.000
364,3602,12.607000000000001,49,2013-12-26 00:00:00.000
365,3326,11.641,40,2013-12-27 00:00:00.000
366,2963,10.3705,39,2013-12-28 00:00:00.000
367,3024,10.584,42,2013-12-29 00:00:00.000
368,2957,10.3495,42,2013-12-30 00:00:00.000
369,3094,10.829,29,2013-12-31 00:00:00.000
370,2813,9.8455,27,2014-01-01 00:00:00.000
371,3395,11.8825,30,2014-01-02 00:00:00.000
372,2843,9.9505,21,2014-01-03 00:00:00.000
373,2726,9.541,31,2014-01-04 00:00:00.000
374,2822,9.877,35,2014-01-05 00:00:00.000
375,2839,9.9365,26,2014-01-06 00:00:00.000
376,2933,10.2655,19,2014-01-07 00:00:00.000
377,2792,9.772,15,2014-01-08 00:00:00.000
378,2732,9.562,14,2014-01-09 00:00:00.000
379,3182,11.137,19,2014-01-10 00:00:00.000
380,3032,10.612,27,2014-01-11 00:00:00.000
381,3114,10.899000000000001,17,2014-01-12 00:00:00.000
382,3168,11.088000000000001,12,2014-01-13 00:00:00.000
383,3467,12.134500000000001,9,2014-01-14 00:00:00.000
384,3109,10.8815,21,2014-01-15 00:00:00.000
385,3067,10.7345,13,2014-01-16 00:00:00.000
386,2898,10.143,21,2014-01-17 00:00:00.000
387,2841,9.9435,24,2014-01-18 00:00:00.000
388,2789,9.7615,27,2014-01-19 00:00:00.000
389,3357,11.7495,13,2014-01-20 00:00:00.000
390,3414,11.949,14,2014-01-21 00:00:00.000
391,3082,10.787,11,2014-03-10 00:00:00.000
392,2853,9.9855,21,2014-03-11 00:00:00.000
393,2513,8.7955,19,2014-03-12 00:00:00.000
394,2958,10.353,20,2014-03-13 00:00:00.000
395,2834,9.919,23,2014-03-14 00:00:00.000
396,2774,9.709,43,2014-03-15 00:00:00.000
397,2548,8.918000000000001,38,2014-03-16 00:00:00.000
398,3053,10.685500000000001,11,2014-03-17 00:00:00.000
399,2401,8.4035,17,2014-03-18 00:00:00.000
400,2553,8.9355,13,2014-03-19 00:00:00.000
401,2755,9.6425,12,2014-03-20 00:00:00.000
402,2823,9.8805,16,2014-03-21 00:00:00.000
403,2778,9.723,29,2014-03-22 00:00:00.000
404,2824,9.884,21,2014-03-23 00:00:00.000
405,2744,9.604000000000001,18,2014-03-24 00:00:00.000
406,2728,9.548,8,2014-03-25 00:00:00.000
407,2479,8.6765,15,2014-03-26 00:00:00.000
408,2874,10.059000000000001,14,2014-03-27 00:00:00.000
409,3126,10.941,10,2014-03-28 00:00:00.000
410,2915,10.2025,30,2014-03-29 00:00:00.000
411,2949,10.3215,15,2014-03-30 00:00:00.000
412,2557,8.9495,22,2014-03-31 00:00:00.000
413,2478,8.673,21,2014-04-01 00:00:00.000
414,2639,9.2365,18,2014-04-02 00:00:00.000
415,2843,9.9505,13,2014-04-03 00:00:00.000
416,2799,9.7965,16,2014-04-04 00:00:00.000
417,2721,9.5235,30,2014-04-05 00:00:00.000
418,2454,8.589,22,2014-04-06 00:00:00.000
419,2520,8.82,19,2014-04-07 00:00:00.000
420,2542,8.897,25,2014-04-08 00:00:00.000
421,2065,7.2275,29,2014-04-09 00:00:00.000
422,2461,8.6135,26,2014-04-10 00:00:00.000
423,2563,8.9705,29,2014-04-11 00:00:00.000
424,2525,8.8375,22,2014-04-12 00:00:00.000
425,2553,8.9355,25,2014-04-13 00:00:00.000
426,2435,8.5225,15,2014-04-14 00:00:00.000
427,2490,8.715,19,2014-04-15 00:00:00.000
428,2749,9.621500000000001,17,2014-04-16 00:00:00.000
429,2772,9.702,19,2014-04-17 00:00:00.000
430,2657,9.2995,27,2014-04-18 00:00:00.000
431,2593,9.0755,38,2014-04-19 00:00:00.000
432,2596,9.086,47,2014-04-20 00:00:00.000
433,2638,9.233,34,2014-04-21 00:00:00.000
434,2471,8.6485,25,2014-04-22 00:00:00.000
435,2377,8.3195,21,2014-04-23 00:00:00.000
436,2738,9.583,19,2014-04-24 00:00:00.000
437,2857,9.9995,23,2014-04-25 00:00:00.000
438,2572,9.002,28,2014-04-26 00:00:00.000
439,2579,9.0265,30,2014-04-27 00:00:00.000
440,2498,8.743,20,2014-04-28 00:00:00.000
441,2356,8.246,15,2014-04-29 00:00:00.000
442,2274,7.9590000000000005,22,2014-04-30 00:00:00.000
443,2944,10.304,15,2014-05-01 00:00:00.000
444,2519,8.8165,19,2014-05-02 00:00:00.000
445,2978,10.423,22,2014-05-03 00:00:00.000
446,2971,10.3985,20,2014-05-04 00:00:00.000
447,2348,8.218,19,2014-05-05 00:00:00.000
448,2727,9.5445,11,2014-05-06 00:00:00.000
449,3064,10.724,13,2014-05-07 00:00:00.000
450,2873,10.0555,16,2014-05-08 00:00:00.000
451,2955,10.3425,28,2014-05-09 00:00:00.000
452,2692,9.422,32,2014-05-10 00:00:00.000
453,2555,8.9425,28,2014-05-11 00:00:00.000
454,2498,8.743,22,2014-05-12 00:00:00.000
455,2487,8.7045,20,2014-05-13 00:00:00.000
456,2253,7.8855,25,2014-05-14 00:00:00.000
457,2843,9.9505,23,2014-05-15 00:00:00.000
458,2763,9.6705,23,2014-05-16 00:00:00.000
459,2840,9.94,32,2014-05-17 00:00:00.000
460,2750,9.625,23,2014-05-18 00:00:00.000
461,3191,11.1685,15,2014-05-19 00:00:00.000
462,3191,11.1685,15,2014-05-20 00:00:00.000
463,2396,8.386000000000001,9,2014-05-21 00:00:00.000
464,2752,9.632,32,2014-05-22 00:00:00.000
465,2516,8.806000000000001,51,2014-05-23 00:00:00.000
466,2269,7.9415000000000004,38,2014-05-24 00:00:00.000
467,2570,8.995000000000001,21,2014-05-25 00:00:00.000
468,2385,8.3475,17,2014-05-26 00:00:00.000
469,2383,8.3405,19,2014-05-27 00:00:00.000
470,2560,8.96,14,2014-05-28 00:00:00.000
471,2702,9.457,26,2014-05-29 00:00:00.000
472,2853,9.9855,31,2014-05-30 00:00:00.000
473,2813,9.8455,32,2014-05-31 00:00:00.000
474,3215,11.2525,20,2014-06-01 00:00:00.000
475,2935,10.2725,24,2014-06-02 00:00:00.000
476,3233,11.3155,20,2014-06-03 00:00:00.000
477,3017,10.5595,17,2014-06-04 00:00:00.000
478,3106,10.871,13,2014-06-05 00:00:00.000
479,3043,10.650500000000001,28,2014-06-06 00:00:00.000
480,2990,10.465,27,2014-06-07 00:00:00.000
481,3303,11.560500000000001,18,2014-06-08 00:00:00.000
482,3261,11.4135,18,2014-06-09 00:00:00.000
483,2899,10.1465,14,2014-06-10 00:00:00.000
484,2895,10.1325,23,2014-06-11 00:00:00.000
485,3024,10.584,18,2014-06-12 00:00:00.000
486,2675,9.3625,21,2014-06-13 00:00:00.000
487,2945,10.307500000000001,27,2014-06-14 00:00:00.000
488,3097,10.839500000000001,24,2014-06-15 00:00:00.000
489,3014,10.549,32,2014-06-16 00:00:00.000
490,2899,10.1465,23,2014-06-17 00:00:00.000
491,2615,9.1525,41,2014-06-18 00:00:00.000
492,2545,8.9075,44,2014-06-19 00:00:00.000
493,2758,9.653,41,2014-06-20 00:00:00.000
494,2409,8.4315,62,2014-06-21 00:00:00.000
495,2735,9.5725,32,2014-06-22 00:00:00.000
496,3014,10.549,20,2014-06-23 00:00:00.000
497,3118,10.913,19,2014-06-24 00:00:00.000
498,2919,10.2165,34,2014-06-25 00:00:00.000
499,3065,10.727500000000001,34,2014-06-26 00:00:00.000
500,3186,11.151,29,2014-06-27 00:00:00.000
501,3122,10.927,26,2014-06-28 00:00:00.000
502,2770,9.695,25,2014-06-29 00:00:00.000
503,3211,11.2385,31,2014-06-30 00:00:00.000
504,3038,10.633000000000001,25,2014-07-01 00:00:00.000
505,3309,11.5815,24,2014-07-02 00:00:00.000
506,2930,10.255,37,2014-07-03 00:00:00.000
507,2995,10.4825,21,2014-07-04 00:00:00.000
508,3301,11.5535,24,2014-07-05 00:00:00.000
509,3293,11.525500000000001,19,2014-07-06 00:00:00.000
510,3155,11.0425,35,2014-07-07 00:00:00.000
511,3416,11.956,25,2014-07-08 00:00:00.000
512,3297,11.5395,22,2014-07-09 00:00:00.000
513,3181,11.1335,29,2014-07-10 00:00:00.000
514,3500,12.25,29,2014-07-11 00:00:00.000
