"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
72,126,37816777,424197,1150000,0,419,true,true,false,"Ghostwalker","GW",618033988,2023-06-25 07:46:47.406,2010-10-29 21:54:11.257
73,37,26011378,449409,1150000,0,1969,true,true,false,"): Star Tailslide","TS",10000000,2023-07-22 02:44:58.625,2010-04-22 22:29:17.657
74,93,96079550,82231,1100000,0,595,true,true,false,"Skeleton Lord","SL",22222222,2023-07-14 22:31:57.950,2013-11-01 05:00:00.000
75,129,169444515,476900,1100000,0,1939,true,true,false,"Rbadam's Smokestack Top Hat","Rbad",1.0101010101e+11,2023-08-04 12:38:31.544,2014-08-28 05:00:00.000
76,283,31765091,34471,1100000,0,701,true,true,false,"Bharama Guardian","Bhar",500000000,2023-07-12 03:20:51.415,2010-07-29 23:40:35.733
77,116,16641274,456021,1100000,0,2450,true,true,false,"Illumina","Ill",2650000,2023-08-04 22:55:06.045,2009-10-07 07:55:59.683
78,114,11748356,1215807,1050000,11791597,2024,true,false,false,"Clockwork's Shades","CWS",1275000,2023-08-07 09:59:20.218,2013-07-25 05:00:00.000
79,70,33337038,198063,1050000,0,1481,true,true,false,"Tasteless Shades","TLS",4444444,2023-07-31 21:09:17.962,2010-08-20 06:40:47.403
80,149,108149175,367587,1050000,0,1833,true,true,false,"Dual Darkhearts","DDH",2500000,2023-08-02 04:58:25.921,2013-03-01 00:41:39.183
81,19743,382881237,1636642,1000000,2650000,2361,true,true,false,"Tixvalk","TV",1500000,2023-07-30 20:13:29.766,2022-06-01 07:15:00.000
82,137,29844011,94609,1000000,0,1844,true,true,false,"Retro 80s Headphones","Retros",2000000,2023-07-17 18:03:17.086,2010-07-01 00:55:06.493
83,136,557057917,415962,1000000,0,1803,true,true,false,"Interstellar Wings","Stellars",2000000,2023-08-07 09:54:02.469,2016-11-26 02:49:09.873
84,148,125013769,392433,1000000,0,338,true,true,false,"Linked Sword","LS",618033988,2023-07-24 00:14:51.824,2016-06-30 05:00:00.000
85,41,51352983,191142,1000000,1500000,2427,true,true,false,"Umadbro?","Umad",0,2023-08-04 20:58:28.341,2011-05-07 01:34:47.370
